,inc0,inc1,incdiff,lats,lngs,pop0,pop1,popdiff
15538,3505750853009.6387,4994833723977.698,1489082870968.0596,39.986934661865234,-75.92538452148438,120375956.38400972,175461721.2549118,55085764.87090209
15539,3723385334153.876,4910438248158.125,1187052914004.249,39.986934661865234,-75.90382385253906,127716746.43672039,169936905.04407212,42220158.607351735
15540,4572557646612.5205,6488041567824.631,1915483921212.1104,39.986934661865234,-75.88226318359375,147998154.7218569,198255779.52526575,50257624.80340886
15541,7062043670861.281,11855218831856.424,4793175160995.143,39.986934661865234,-75.86070251464844,223030523.1870313,333322887.1041821,110292363.91715083
15542,13718194009120.814,21833749564910.344,8115555555789.529,39.986934661865234,-75.83914184570312,661113260.038982,920057087.5522684,258943827.51328635
15543,30004927789287.43,29974716718899.285,-30211070388.14453,39.986934661865234,-75.81758880615234,1514708042.113933,1719156572.517754,204448530.403821
15544,23876413819518.758,23888121553662.12,11707734143.363281,39.986934661865234,-75.79602813720703,847712321.4114584,908337609.510913,60625288.09945464
15545,12556113168248.977,18008389515909.086,5452276347660.109,39.986934661865234,-75.77446746826172,348977696.6995369,525415833.3734265,176438136.67388958
15546,13561691237181.695,17010438886655.047,3448747649473.3516,39.986934661865234,-75.7529067993164,361575993.6120141,418190229.0037055,56614235.39169139
15547,14894618187787.277,17660154118786.45,2765535930999.172,39.986934661865234,-75.7313461303711,422136591.7030561,470580968.00244147,48444376.29938537
15548,13827156552666.584,17618099549892.125,3790942997225.541,39.986934661865234,-75.70978546142578,392570204.6644753,452949077.3553919,60378872.6909166
15549,9536322615059.115,13064821321936.22,3528498706877.1055,39.986934661865234,-75.68822479248047,210751507.9826911,263747915.72062692,52996407.73793581
15550,6888534986419.519,7961079794108.085,1072544807688.5664,40.094730377197266,-76.44281005859375,210978550.3215396,231754193.02084285,20775642.69930324
15551,12048317520346.318,13232101585304.668,1183784064958.3496,40.094730377197266,-76.42125701904297,382985407.6029575,408648533.65090185,25663126.047944367
15552,14442235034010.463,14093389070096.979,-348845963913.4844,40.094730377197266,-76.39969635009766,391678621.0579658,381112292.8517903,-10566328.206175506
15553,5655013795426.24,4961479942557.38,-693533852868.8604,40.094730377197266,-76.37813568115234,155566979.48323444,149199041.0249712,-6367938.458263248
15554,16992839557441.209,14599672780168.428,-2393166777272.7812,40.094730377197266,-76.35657501220703,536575532.5082043,529615645.85769296,-6959886.650511324
15555,29945564710766.95,28084474633094.695,-1861090077672.254,40.094730377197266,-76.33501434326172,867495872.4350883,932174314.7762308,64678442.341142535
15556,27399089718672.062,26131521466878.082,-1267568251793.9805,40.094730377197266,-76.3134536743164,698509811.455585,784994658.4089742,86484846.95338917
15557,25970782837575.715,25657828818279.46,-312954019296.2539,40.094730377197266,-76.2918930053711,666997711.0832739,805075170.4119675,138077459.32869363
15558,18657425030906.043,18007956448795.613,-649468582110.4297,40.094730377197266,-76.27033996582031,455891349.2176056,500124133.7750435,44232784.5574379
15559,11274984732028.139,10948090916980.729,-326893815047.41016,40.094730377197266,-76.248779296875,265998840.3747448,314183740.9082234,48184900.53347859
15560,5712662833929.399,4660942177143.359,-1051720656786.04,40.094730377197266,-76.22721862792969,184507736.99643463,201611156.3065189,17103419.310084283
15561,6579037612682.972,5504525051959.281,-1074512560723.6904,40.094730377197266,-76.20565795898438,212946546.3815677,232349660.96658334,19403114.585015655
15562,11305193981846.469,9432373533567.69,-1872820448278.7793,40.094730377197266,-76.18409729003906,341071194.58428556,370805209.5223019,29734014.938016355
15563,6331928026790.101,5074464529727.148,-1257463497062.9521,40.094730377197266,-76.16253662109375,197433659.11553672,223877872.38786763,26444213.27233091
15564,3213107534609.0464,2572195755927.248,-640911778681.7983,40.094730377197266,-76.14097595214844,112456762.62932664,122359701.1668318,9902938.537505165
15565,4084397373760.514,3826356407859.3545,-258040965901.15967,40.094730377197266,-76.11942291259766,156753512.52473536,173900811.47341248,17147298.948677123
15566,15921060807924.232,15666064773804.26,-254996034119.97266,40.094730377197266,-76.09786224365234,574350698.0373014,640031882.1167638,65681184.07946241
15567,11446771622976.693,12688614303894.672,1241842680917.9785,40.094730377197266,-76.07630157470703,407686874.59443915,456079465.72207725,48392591.1276381
15568,3917194833193.307,4328594774902.8223,411399941709.51514,40.094730377197266,-76.05474090576172,132908395.74755546,171783663.78231004,38875268.034754574
15569,3213180772126.9424,3046640102990.7607,-166540669136.18164,40.094730377197266,-76.0331802368164,105196443.10162781,130383625.64684318,25187182.54521537
15570,2200764279669.583,2329292547532.096,128528267862.51318,40.094730377197266,-76.0116195678711,90044784.51250622,102409373.79232323,12364589.279817015
15571,2432785888911.8843,2933020530187.3086,500234641275.4243,40.094730377197266,-75.99005889892578,107102291.04728718,114121934.6018231,7019643.554535925
15572,2769394047857.1636,3363273622115.5557,593879574258.3921,40.094730377197266,-75.968505859375,116915508.54735154,123326480.04957417,6410971.502222627
15573,2714659988839.2715,3371650003726.0,656990014886.7285,40.094730377197266,-75.94694519042969,112698297.46131179,121320228.18156144,8621930.720249653
15574,4221528083786.9697,5926385050581.905,1704856966794.9355,40.094730377197266,-75.92538452148438,159341296.87131837,204832450.379163,45491153.50784463
15575,6980648872803.637,8933769416048.57,1953120543244.9336,40.094730377197266,-75.90382385253906,262772037.8913875,321862538.0043504,59090500.11296293
15576,1933261901810.9094,2278970183467.5825,345708281656.6731,40.094730377197266,-75.88226318359375,73235168.46487425,87447481.75952315,14212313.2946489
15577,2310085408227.1396,2508238513116.085,198153104888.9453,40.094730377197266,-75.86070251464844,87913749.75428897,99507071.84120308,11593322.086914107
15578,2756433796826.796,2800953010639.224,44519213812.42822,40.094730377197266,-75.83914184570312,101024771.53016624,101443447.03383113,418675.5036648959
15579,2436497671107.2246,2590342479968.989,153844808861.76416,40.094730377197266,-75.81758880615234,69685022.02104478,70910002.65502217,1224980.6339773983
15580,4715936838719.738,4221115714816.2754,-494821123903.4629,40.094730377197266,-75.79602813720703,104526467.83863068,106473102.23410872,1946634.39547804
15581,4610564393224.559,4421275711899.845,-189288681324.71387,40.094730377197266,-75.77446746826172,100844722.08313374,111384600.07562143,10539877.992487684
15582,3674097538540.499,3849419421002.334,175321882461.83496,40.094730377197266,-75.7529067993164,82783197.95194855,96076439.33432871,13293241.382380158
15583,11637352701433.576,12319140507767.494,681787806333.918,40.094730377197266,-75.7313461303711,252637858.84618378,267513364.2978731,14875505.451689333
15584,11287535692661.682,21837284370941.09,10549748678279.408,40.094730377197266,-75.70978546142578,259179836.75198972,445904200.54265445,186724363.79066473
15585,4988703387877.982,23422869665411.074,18434166277533.094,40.094730377197266,-75.68822479248047,120507532.61439005,436499449.16890323,315991916.5545132
15586,5138109697306.63,14129800102232.85,8991690404926.219,40.094730377197266,-75.66667175292969,94889678.44425808,234593680.20069999,139704001.7564419
15587,8481920019197.187,10194663484506.854,1712743465309.667,40.094730377197266,-75.64511108398438,131240691.0165615,170422454.17258343,39181763.15602194
15588,9538828571871.52,9925248906536.92,386420334665.4004,40.094730377197266,-75.62355041503906,143329870.63381058,164073746.03317466,20743875.399364084
15589,9123637180892.014,10016921226928.635,893284046036.6211,40.094730377197266,-75.60198974609375,146408942.4904543,163948048.63837105,17539106.147916764
15590,8302892157529.395,11204718498797.752,2901826341268.3574,40.094730377197266,-75.58042907714844,163505986.43780088,203275002.0353378,39769015.59753692
15591,8661395676771.337,11609282546407.969,2947886869636.632,40.094730377197266,-75.55886840820312,157025427.5189808,205504292.10358915,48478864.584608346
15592,7720206835268.322,11231248752673.672,3511041917405.3496,40.094730377197266,-75.53730773925781,133734765.31979418,184501022.56398278,50766257.24418861
15593,8897798268533.996,12397389588016.545,3499591319482.549,40.094730377197266,-75.51575469970703,131509161.39693387,191073801.3598428,59564639.96290894
15594,19428620083407.887,18008080974525.55,-1420539108882.336,40.094730377197266,-75.49419403076172,257156850.44513816,305894339.56554675,48737489.120408595
15595,22592207669297.613,19239066081997.05,-3353141587300.5625,40.094730377197266,-75.4726333618164,300910696.0626657,325854109.24710596,24943413.184440255
15596,11465087899322.328,10531073411493.143,-934014487829.1855,40.094730377197266,-75.4510726928711,182390173.31012005,206414130.4777436,24023957.16762355
15597,16871168014212.752,15765201661722.807,-1105966352489.9453,40.094730377197266,-75.42951202392578,282105218.442342,308719747.3880702,26614528.945728242
15598,22916372741886.965,20056760087210.41,-2859612654676.5547,40.094730377197266,-75.40795135498047,428263389.4682833,461082333.46846616,32818944.000182867
15599,36981480907311.055,36228512724445.42,-752968182865.6328,40.094730377197266,-75.38639068603516,877099948.0344958,947747181.0046909,70647232.97019506
15600,45520599629539.055,43399295849071.97,-2121303780467.086,40.094730377197266,-75.36483764648438,1108374052.8094656,1163119836.5849466,54745783.775480986
15601,32407259297683.195,37893095352359.79,5485836054676.594,40.094730377197266,-75.34327697753906,1065943533.9673977,1125702758.3272681,59759224.359870434
15602,16866379386330.633,17685499972873.023,819120586542.3906,40.094730377197266,-75.32171630859375,539454741.1556196,564970538.564004,25515797.408384323
15603,35489157477785.18,33169888145508.15,-2319269332277.0312,40.094730377197266,-75.30015563964844,982579433.9150767,904059044.6615492,-78520389.25352752
15604,48678704203753.83,45072804327405.15,-3605899876348.6797,40.094730377197266,-75.27859497070312,981705383.4478354,1000639435.9585085,18934052.510673046
15605,42385598763489.79,42205200121466.92,-180398642022.8672,40.094730377197266,-75.25703430175781,836078328.6571028,801837074.6832032,-34241253.9738996
15606,27443358945078.523,30507693194857.12,3064334249778.5977,40.094730377197266,-75.2354736328125,512895161.3659598,531826007.6856722,18930846.3197124
15607,46205758458703.07,45183490414466.17,-1022268044236.8984,40.094730377197266,-75.21392059326172,1011642770.4734677,966849780.4702965,-44792990.003171206
15608,51865802604289.55,45160536270832.125,-6705266333457.422,40.094730377197266,-75.1923599243164,1098291377.4655452,1090147515.3857687,-8143862.0797765255
15609,55814490650484.44,52600899145750.08,-3213591504734.3594,40.094730377197266,-75.1707992553711,1363117537.4883108,1367031825.7545905,3914288.2662796974
